wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-12-03 10:03:04,314+0000 INFO  [jetty-main-1]  org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2018-12-03 10:03:04,315+0000 INFO  [jetty-main-1]  org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
jvm 1    | 2018-12-03 10:03:04,315+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - This is 1st start of new Nexus instance.
jvm 1    | 2018-12-03 10:03:04,315+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Nexus Work Directory : /root/DevOpsTraning/my-app/sonatype-work/nexus
jvm 1    | 2018-12-03 10:03:04,315+0000 INFO  [jetty-main-1]  org.sonatype.nexus.NxApplication - Started Nexus Repository Manager OSS 2.14.11-01
jvm 1    | 2018-12-03 10:03:04,863+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) started :: Updating repository index "Public Repositories" from path null and below.
jvm 1    | 2018-12-03 10:03:04,934+0000 INFO  [pxpool-1-thread-1] *TASK org.sonatype.nexus.index.NexusScanningListener - Scanning of repositoryID="releases" started.
jvm 1    | 2018-12-03 10:03:04,983+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration.
jvm 1    | 2018-12-03 10:03:04,985+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 1
jvm 1    | 2018-12-03 10:03:04,990+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 1
jvm 1    | 2018-12-03 10:03:04,991+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 2
jvm 1    | 2018-12-03 10:03:04,999+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 2
jvm 1    | 2018-12-03 10:03:05,000+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 3
jvm 1    | 2018-12-03 10:03:05,001+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 3
jvm 1    | 2018-12-03 10:03:05,001+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 4
jvm 1    | 2018-12-03 10:03:05,005+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 4
jvm 1    | 2018-12-03 10:03:05,005+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 5
jvm 1    | 2018-12-03 10:03:05,008+0000 INFO  [jetty-main-1]  com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration to version 5
